adId,link,price,pricePerMeter,area,photo,dateCreated,pushedUpAt,isPrivateOwner,date
63825386,https://www.otodom.pl/pl/oferta/kawalerka-mieszkanie-ID4jNTI,180000,6667,27.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlsdWU0MHJrOWgxOC1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.Hyj2tgdK3ZyqaFAruak_n-a25788Sl_B9JIy6sRfy7Y/image;s=1280x1024;q=80,2023-01-06 15:43:28,,True,2023-01-06
63825238,https://www.otodom.pl/pl/oferta/fantastyczne-po-remoncie-z-piekna-lazienka-ID4jNRk,259999,7027,37.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjBja2xueGVhOWJsaTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.428wht3Hec6uybK-guLzGWnrHc1FaXH2evY-cQRf6sc/image;s=1280x1024;q=80,2023-01-06 14:29:30,,True,2023-01-06
63489650,https://www.otodom.pl/pl/oferta/3-pokoje-na-1-pietrze-wysoki-standard-ID4ioyC,439000,7081,62.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InRyOXFlYnN0aXVxdTItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.cwHigl0EVFS0JwePuVJEAFG0cwDS_3_OpO5vpfY10SM/image;s=1280x1024;q=80,2023-01-06 09:28:26,2023-01-06T09:28:26+01:00,False,2023-01-06
63777421,https://www.otodom.pl/pl/oferta/apartament-95m2-w-stylu-loft-ID4jBq5,749000,7884,95.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Inh0MXd1anJnampjNzMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.9ut_YvDp4UGGIFkVyQyAGfewZtbyitHPNhq5uK7pKoQ/image;s=1280x1024;q=80,2023-01-05 18:18:20,2023-01-05T18:18:21+01:00,False,2023-01-06
63706964,https://www.otodom.pl/pl/oferta/do-wprowadzenia-duzy-balkon-bugaj-ID4jj5G,385000,6311,61.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImlhYW51enF0b3drdTItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.5TUjGWBnwDWhOTirFQ7qtleHPi4uGro5mn1F-iUM_C8/image;s=1280x1024;q=80,2023-01-05 17:44:16,2023-01-05T17:44:16+01:00,False,2023-01-06
63440836,https://www.otodom.pl/pl/oferta/3-pokoje-z-widokiem-na-park-wolnosci-ID4ibRi,308900,6435,48.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImFmeDJpdnh3bmRicDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.zyFSdJTlOkMP0bKLOzdmch3L8LyFV2gnKLql8kb3xr4/image;s=1280x1024;q=80,2023-01-05 14:53:05,2023-01-05T14:53:05+01:00,False,2023-01-06
63798265,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-po-generalnym-remoncie-ID4jGQh,450000,9336,48.2,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImM5cWtoMnY0MmVjMjEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.Zg_OHH1Ra8hWx-wuEsY-f25HmxS90xXug_G1f3SZiDM/image;s=1280x1024;q=80,2023-01-05 13:48:44,2023-01-05T13:48:44+01:00,True,2023-01-06
63748478,https://www.otodom.pl/pl/oferta/sprzedam-bezczynszowe-mieszkanie-30m2-pabianice-ID4jtTg,186000,6200,30.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Im83NWppaXBzajdzZy1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.WILEq5FnDsWmu8kKh6P7Z0VxHKspc76eAfQqAQ9kDAc/image;s=1280x1024;q=80,2023-01-04 21:48:03,2023-01-04T21:48:03+01:00,True,2023-01-06
63820076,https://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-61-m2-pabianice-ID4jMv4,389000,6394,60.84,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InN1d2hpaDJlOTczbzEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.JyPbb7MgqCxx_Fzp49xiUMkmtgD_HjJGGIpmIG0BELI/image;s=1280x1024;q=80,2023-01-04 16:11:47,,False,2023-01-06
63816812,https://www.otodom.pl/pl/oferta/m4-pabianice-centrum-4700zl-m2-ID4jLFq,270000,4737,57.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRqejNqNWNlcWQ1YjItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.AlVCuCxJ15H18cnKQ6qZKmewScCJXSZWKx18GowrNxw/image;s=1280x1024;q=80,2023-01-03 17:41:12,,False,2023-01-06
63815817,https://www.otodom.pl/pl/oferta/mieszkanie-48m2-pietro-3-4-balkon-pabianice-piaski-ID4jLpn,279000,5788,48.2,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNmeTdhZms5c2d0YjMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.22n5iZ_TGopeCbh40aYI3QB8SDVnmLecGcPGpJvJ8z0/image;s=1280x1024;q=80,2023-01-03 14:21:12,,False,2023-01-06
63815808,https://www.otodom.pl/pl/oferta/zamiana-sprzedaz-pabianice-ID4jLpe,235000,4896,48.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImNkb3Y4eXljMmx2NDMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.un71qEkpJnwPTNOAo8uM5zYBsJRTtleIN0_d4Ki-_Ug/image;s=1280x1024;q=80,2023-01-03 14:20:56,,False,2023-01-06
63815806,https://www.otodom.pl/pl/oferta/mieszkanie-47-mkw-z-kw-kamienica-pabianice-ID4jLpc,115000,2447,47.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InM4MnV3dHd2NG10ZTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.uZPo6hBgtdmXhiY93EZr0Uxhy875IMSrEOol1JwSp7Y/image;s=1280x1024;q=80,2023-01-03 14:20:55,,False,2023-01-06
63781503,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-m3-pabianice-bezposrednio-ID4jCtW,279000,5694,49.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImtjNmo4OWhvdDl1OS1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.MVj6Sa7-kkM23SEbH54ZEdjCbEVx4x7-6nkHhAx_Reg/image;s=1280x1024;q=80,2023-01-03 09:37:56,2023-01-03T09:37:56+01:00,True,2023-01-06
63671673,https://www.otodom.pl/pl/oferta/m-3-przestronne-pabianice-swietny-punkt-ID4j9Ut,295000,6071,48.59,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjRtOHkzeDJ2OWcyZzMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DFeG5LlBfZQR_PdPL1lo7MMNKwvqkwyA0HZmjLRe1GU/image;s=1280x1024;q=80,2023-01-02 22:09:40,2023-01-02T22:09:40+01:00,False,2023-01-06
63781140,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-w-odrestaurowanej-kamienicy-ID4jCo4,348564,6200,56.22,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImF1ZXBlYWRiMGk5ai1BUEwiLCJ3IjpbeyJmbiI6ImVudmZxcWUxYXk0azEtQVBMIiwicyI6IjE0IiwicCI6IjEwLC0xMCIsImEiOiIwIn1dfQ.vlr5Ggi9tS08m7EUh6TizQP1HovKgObHpxlAD_XmC5M/image;s=1280x1024;q=80,2023-01-02 21:19:08,2023-01-02T21:19:08+01:00,True,2023-01-06
63726880,https://www.otodom.pl/pl/oferta/3-pokoje-z-aneksem-po-generalnym-remoncie-centrum-ID4jogU,334497,7626,43.86,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IjY4MWRhMDBkNm82cTEtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.f0Uie1C0w45G3e4aFLA5RmLTWMzySIvubkSL3uSeMf0/image;s=1280x1024;q=80,2023-01-01 21:13:02,2023-01-01T21:13:02+01:00,True,2023-01-06
63784491,https://www.otodom.pl/pl/oferta/roweckiego-2-pokoje-inwestycja-8-5-z-najemca-ID4jDg7,199000,6219,32.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Ijk2ZzdjdzJ3a2UzNTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DMUe8uOmQ-DT202go_1vnj9N7F9cr7lIP4leMOWReFY/image;s=1280x1024;q=80,2023-01-01 16:06:32,2023-01-01T16:06:32+01:00,True,2023-01-06
63800755,https://www.otodom.pl/pl/oferta/m-4-do-zamieszkania-tkacka-w-pabianicach-ID4jHur,369000,6069,60.8,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InBiOHppdWd4aXBxZzMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.2G8N4HQZNM-d7kg6rhmARFPmSWUU0bilAObd-Gj6wBQ/image;s=1280x1024;q=80,2023-01-01 11:06:24,2023-01-01T11:06:24+01:00,False,2023-01-06
63654725,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-m3-50m2-bugaj-ID4j5w7,345000,6900,50.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6IndsOTg4dG16MWQ2MDItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.O6YbbH1tqP9pSE-HPz_7mzWpVEHgT6ynBi5r1j5zsnc/image;s=1280x1024;q=80,2023-01-01 10:11:46,2023-01-01T10:11:46+01:00,True,2023-01-06
63227980,https://www.otodom.pl/pl/oferta/mieszkanie-m2-25m2-balkon-ID4hiu8,170000,6800,25.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6InppYnBnODB0bHI0MTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.qJzzbLGuDIESSG1i_LpcIkhkkMpUTnCXZCZhMs7RCEc/image;s=1280x1024;q=80,2022-12-29 21:07:40,2022-12-29T21:07:40+01:00,True,2023-01-06
63732800,https://www.otodom.pl/pl/oferta/mieszkanie-38-m2-po-generalny-remoncie-balkon-ID4jpOo,299900,7892,38.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6ImV4dnRzcGxxbTFpejItQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.DvENcp55LCuCKeuaGHQMorcGuijcDSUjvTqq-ipgLbI/image;s=1280x1024;q=80,2022-12-29 17:49:04,2022-12-29T17:49:04+01:00,True,2023-01-06
63688851,https://www.otodom.pl/pl/oferta/znow-dostepne-sprzedam-przytulne-m3-na-piaskach-ID4jenx,295000,9219,32.0,https://ireland.apollo.olxcdn.com/v1/files/eyJmbiI6Imx0MTN4Y3p3Y2F4OTMtQVBMIiwidyI6W3siZm4iOiJlbnZmcXFlMWF5NGsxLUFQTCIsInMiOiIxNCIsInAiOiIxMCwtMTAiLCJhIjoiMCJ9XX0.e4LUqwgmS9L5ys1QVpwom_hJ5XjiSSCDoSuu1vSD6ks/image;s=1280x1024;q=80,2022-12-28 22:46:58,2022-12-28T22:46:58+01:00,True,2023-01-06
